# gapseq version: 1.3.1
# Sequence DB md5sum: b470543 (2026-05-30, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	43.388	3.57e-139	407	98	NP_415816.1 gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	18	495	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	43.478	2.57e-126	374	97	NP_415903.4 phenylacetaldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	19	497	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	40.456	2.32e-123	367	98	NP_418045.4 aldehyde dehydrogenase B [Escherichia coli str. K-12 substr. MG1655]	28	507	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	38.683	2.33e-122	363	99	NP_414846.1 betaine aldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	6	490	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	40.292	2.62e-112	337	98	NP_415961.1 gamma-aminobutyraldehyde dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	1	473	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	35.343	1.23e-97	300	98	NP_417147.1 succinate-semialdehyde dehydrogenase (NADP(+)) GabD [Escherichia coli str. K-12 substr. MG1655]	9	482	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	35.908	2.56e-93	288	98	NP_415933.1 aldehyde dehydrogenase A [Escherichia coli str. K-12 substr. MG1655]	5	478	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		tr|C1I208|C1I208_PSEWB	29.605	1.92e-63	210	93	NP_416042.2 succinate semialdehyde dehydrogenase (NAD(P)(+)) Sad [Escherichia coli str. K-12 substr. MG1655]	12	458	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11	NA	sp|P27099|TCBD_PSESQ	24.682	4.03e-12	63.9	100	YP_026237.1 D-galactonate dehydratase [Escherichia coli str. K-12 substr. MG1655]	1	364	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn03018 rxn03694 	NA	0	NA
RXN-18361	RXN-18361		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
RXN-18362	RXN-18362		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A3P6JD90	39.247	2.15e-117	355	99	NP_416138.1 PTS enzyme IIBC component MalX [Escherichia coli str. K-12 substr. MG1655]	11	521	|1CMET2-PWY|	good_blast	full	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit 2	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A3P6JD90	38.351	6.31e-113	342	99	NP_415619.1 glucose-specific PTS enzyme IIBC component [Escherichia coli str. K-12 substr. MG1655]	9	477	|1CMET2-PWY|	good_blast	full	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit 2	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A3P6JD90	34.291	2.23e-81	265	99	NP_415205.1 N-acetylglucosamine-specific PTS enzyme IIABC component [Escherichia coli str. K-12 substr. MG1655]	3	466	|1CMET2-PWY|	good_blast	full	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit 2	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		sp|P0AFS3|FOLM_ECOLI	100.000	0.0	499	100	NP_416123.1 dihydromonapterin reductase [Escherichia coli str. K-12 substr. MG1655]	1	240	|1CMET2-PWY|	good_blast	full	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		sp|P0ABQ4|DYR_ECOLI	100.000	2.05e-120	333	100	NP_414590.1 dihydrofolate reductase [Escherichia coli str. K-12 substr. MG1655]	1	159	|1CMET2-PWY|	good_blast	full	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A0F3UJU5	98.113	9.07e-118	326	100	NP_414590.1 dihydrofolate reductase [Escherichia coli str. K-12 substr. MG1655]	1	159	|1CMET2-PWY|	good_blast	full	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A097R618	79.114	4.15e-96	271	99	NP_414590.1 dihydrofolate reductase [Escherichia coli str. K-12 substr. MG1655]	2	159	|1CMET2-PWY|	good_blast	full	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A068Z3K5	75.316	2.80e-92	262	99	NP_414590.1 dihydrofolate reductase [Escherichia coli str. K-12 substr. MG1655]	1	158	|1CMET2-PWY|	good_blast	full	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A0A2ZQF3	47.679	9.66e-74	221	98	NP_416123.1 dihydromonapterin reductase [Escherichia coli str. K-12 substr. MG1655]	9	240	|1CMET2-PWY|	good_blast	full	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
5-FORMYL-THF-CYCLO-LIGASE-RXN	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2		UniRef90_P0AC28	100.000	7.12e-137	376	100	NP_417387.3 putative 5-formyltetrahydrofolate cyclo-ligase [Escherichia coli str. K-12 substr. MG1655]	1	182	|1CMET2-PWY|	good_blast	full	rxn01653 	NA	0	1
RXN-22438	5,10-methylenetetrahydrofolate reductase	1.5.1.54	NA									|1CMET2-PWY|	no_blast	full	 	Subunit 2	0	1
RXN-22438	5,10-methylenetetrahydrofolate reductase	1.5.1.54	NA									|1CMET2-PWY|	no_blast	full	 	Subunit 3	0	1
RXN-22438	5,10-methylenetetrahydrofolate reductase	1.5.1.54		sp|P0AEZ1|METF_ECOLI	100.000	0.0	617	100	NP_418376.1 5,10-methylenetetrahydrofolate reductase [Escherichia coli str. K-12 substr. MG1655]	1	296	|1CMET2-PWY|	good_blast	full	 	Subunit undefined	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		UniRef90_Q49775	30.993	1.25e-167	527	99	NP_418443.1 cobalamin-dependent methionine synthase [Escherichia coli str. K-12 substr. MG1655]	12	1192	|1CMET2-PWY|	good_blast	full	rxn00693 rxn16206 rxn33979 	NA	0	1
GCVMULTI-RXN	gcv system	1.4.1.27		sp|P33195|GCSP_ECOLI	100.000	0.0	1988	100	NP_417379.1 glycine decarboxylase [Escherichia coli str. K-12 substr. MG1655]	1	957	|1CMET2-PWY|	good_blast	full	 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_P24186	100.000	0.0	586	100	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	288	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A8FTH7	70.775	8.87e-151	420	100	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	284	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B8GNT6	63.309	5.79e-128	362	98	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	278	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A1WUN4	64.748	2.22e-126	358	96	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	278	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q39WH4	53.623	1.53e-99	290	96	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	3	278	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_P54382	51.971	9.28e-98	286	98	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	279	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B7GHF9	51.930	2.55e-96	282	99	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	283	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q1WUJ3	50.542	1.36e-95	280	97	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	277	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A0M554	50.865	1.71e-93	275	97	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	5	283	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A4VTM4	50.360	1.24e-92	273	98	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	5	280	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q5M583	48.561	5.73e-92	271	98	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	3	280	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q12A51	52.158	2.47e-91	269	99	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	278	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q11M18	51.748	8.12e-88	261	96	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	4	279	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A9BWT7	50.896	2.83e-88	261	98	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	278	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A6L8J2	47.368	5.79e-88	261	96	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	4	278	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q1DA76	50.699	1.29e-87	260	98	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	3	279	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q2FZJ6	47.122	9.59e-87	258	97	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	278	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q038F9	48.708	2.26e-85	254	95	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	6	276	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B2GD67	46.739	8.07e-83	248	96	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	4	276	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A5V1H2	46.953	4.53e-82	246	97	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	279	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A0LLR2	46.181	2.35e-81	244	98	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	279	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B3ESU1	44.746	1.58e-80	243	99	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	3	285	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B8FLE5	46.259	2.78e-80	242	97	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	278	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A9WJ10	46.043	1.94e-79	239	98	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	278	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A3PDH3	43.478	3.69e-79	239	93	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	6	276	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_Q3AIB3	44.803	3.07e-78	236	95	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	6	284	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B0TFC9	47.464	1.01e-77	235	96	NP_415062.1 bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase [Escherichia coli str. K-12 substr. MG1655]	1	276	|1CMET2-PWY|	good_blast	full	rxn01211 rxn24147 rxn34053 	NA	0	1
